Question#,Question Text,Answer,Score,Interpretation,Resource Title,Resource Link,Resource Description
1,"How well are Business Foundations (purpose, mission, vision, values, targets) documented and actually used?",Undocumented or unknown; disparate statements in slides; little day-to-day relevance.,100,Document and socialize foundations; create one-pagers; make them visible in meetings and planning.,Upgrading your Company Operating System (Synozur),https://www.synozur.com/solutions/company-os,"Guidance and maturity practices for building a Company Operating System (Business Foundations, Strategy, Annual Plan, Focus Rhythm)."
1,"How well are Business Foundations (purpose, mission, vision, values, targets) documented and actually used?","Partially documented; known by leadership, inconsistently referenced by teams.",200,Publish tenant-wide and reference in planning; add foundations to meeting templates.,Upgrading your Company Operating System (Synozur),https://www.synozur.com/solutions/company-os,"Guidance and maturity practices for building a Company Operating System (Business Foundations, Strategy, Annual Plan, Focus Rhythm)."
1,"How well are Business Foundations (purpose, mission, vision, values, targets) documented and actually used?",Fully documented and accessible; referenced in annual/quarterly planning.,300,Embed foundations in workflows and onboarding; measure awareness in pulse checks.,Upgrading your Company Operating System (Synozur),https://www.synozur.com/solutions/company-os,"Guidance and maturity practices for building a Company Operating System (Business Foundations, Strategy, Annual Plan, Focus Rhythm)."
1,"How well are Business Foundations (purpose, mission, vision, values, targets) documented and actually used?",Deeply integrated into internal comms; managers use foundations to guide decisions.,400,Track ‘foundation referenced’ decisions and coach leaders; include in performance dialogues.,Upgrading your Company Operating System (Synozur),https://www.synozur.com/solutions/company-os,"Guidance and maturity practices for building a Company Operating System (Business Foundations, Strategy, Annual Plan, Focus Rhythm)."
1,"How well are Business Foundations (purpose, mission, vision, values, targets) documented and actually used?",Measured and reviewed on a regular schedule; foundations drive priorities and behaviors.,500,Continuously test relevance; update via governed cadence and report alignment metrics.,Upgrading your Company Operating System (Synozur),https://www.synozur.com/solutions/company-os,"Guidance and maturity practices for building a Company Operating System (Business Foundations, Strategy, Annual Plan, Focus Rhythm)."
2,How clearly has leadership articulated strategy as integrated choices (where/how to win)?,No shared strategy; siloed plans mistaken for strategy; success depends on heroics.,100,"Run strategy choices workshops; define markets, value propositions, and capabilities.",Upgrading your Company Operating System (Synozur),https://www.synozur.com/solutions/company-os,"Guidance and maturity practices for building a Company Operating System (Business Foundations, Strategy, Annual Plan, Focus Rhythm)."
2,How clearly has leadership articulated strategy as integrated choices (where/how to win)?,High-level ambitions exist; choices vague; division plans loosely aligned.,200,Clarify explicit choices; write a concise strategy narrative and test with customers.,Upgrading your Company Operating System (Synozur),https://www.synozur.com/solutions/company-os,"Guidance and maturity practices for building a Company Operating System (Business Foundations, Strategy, Annual Plan, Focus Rhythm)."
2,How clearly has leadership articulated strategy as integrated choices (where/how to win)?,Strategy documented and socialized; trade-offs evident; leaders align initiatives.,300,Map choices to initiatives and KPIs; establish review checkpoints.,Upgrading your Company Operating System (Synozur),https://www.synozur.com/solutions/company-os,"Guidance and maturity practices for building a Company Operating System (Business Foundations, Strategy, Annual Plan, Focus Rhythm)."
2,How clearly has leadership articulated strategy as integrated choices (where/how to win)?,Strategy routinely evaluated with metrics and market signals; adjustments made.,400,Operate a quarterly strategy review and learning loop; retire misaligned work.,Upgrading your Company Operating System (Synozur),https://www.synozur.com/solutions/company-os,"Guidance and maturity practices for building a Company Operating System (Business Foundations, Strategy, Annual Plan, Focus Rhythm)."
2,How clearly has leadership articulated strategy as integrated choices (where/how to win)?,Strategy is living; choices validated with data and customer insights; rapid iteration.,500,Institutionalize experiments and sensing; codify ‘strategy-to-execution’ playbooks.,Upgrading your Company Operating System (Synozur),https://www.synozur.com/solutions/company-os,"Guidance and maturity practices for building a Company Operating System (Business Foundations, Strategy, Annual Plan, Focus Rhythm)."
3,"How robust is your Annual Plan (objectives, targets, priorities, owners, budgets)?",No single plan; fragmented goals; unclear ownership or budgets.,100,Consolidate into one annual plan with owners and measurable targets.,Upgrading your Company Operating System (Synozur),https://www.synozur.com/solutions/company-os,"Guidance and maturity practices for building a Company Operating System (Business Foundations, Strategy, Annual Plan, Focus Rhythm)."
