Question#,Question Text,Answer,Score,Interpretation,Resource Title,Resource Link,Resource Description
1,"On a typical workday, how often do you use an AI assistant (e.g., Microsoft 365 Copilot, Google Gemini, etc.) to help with your tasks (email, documents, data analysis)?","Never",0,"No adoption: you do not use AI for daily tasks","Mastering Microsoft Copilot: A Beginner’s Guide to AI-Powered Productivity","https://www.turnertimemanagement.com/steves-blog/mastering-microsoft-copilot-a-beginners-guide-to-ai-powered-productivity/","Describes how AI assistants can draft documents, summarize emails, and analyze data, illustrating benefits of integrating AI in daily tasks"
1,"On a typical workday, how often do you use an AI assistant (e.g., Microsoft 365 Copilot, Google Gemini, etc.) to help with your tasks (email, documents, data analysis)?","Rarely",1,"Low adoption: you have tried AI tools but they are not part of your routine","Mastering Microsoft Copilot: A Beginner’s Guide to AI-Powered Productivity","https://www.turnertimemanagement.com/steves-blog/mastering-microsoft-copilot-a-beginners-guide-to-ai-powered-productivity/","Describes how AI assistants can draft documents, summarize emails, and analyze data, illustrating benefits of integrating AI in daily tasks"
1,"On a typical workday, how often do you use an AI assistant (e.g., Microsoft 365 Copilot, Google Gemini, etc.) to help with your tasks (email, documents, data analysis)?","Sometimes",2,"Moderate adoption: you use AI for select tasks when helpful","Mastering Microsoft Copilot: A Beginner’s Guide to AI-Powered Productivity","https://www.turnertimemanagement.com/steves-blog/mastering-microsoft-copilot-a-beginners-guide-to-ai-powered-productivity/","Describes how AI assistants can draft documents, summarize emails, and analyze data, illustrating benefits of integrating AI in daily tasks"
1,"On a typical workday, how often do you use an AI assistant (e.g., Microsoft 365 Copilot, Google Gemini, etc.) to help with your tasks (email, documents, data analysis)?","Often",4,"High adoption: AI is integrated into your daily workflow","Mastering Microsoft Copilot: A Beginner’s Guide to AI-Powered Productivity","https://www.turnertimemanagement.com/steves-blog/mastering-microsoft-copilot-a-beginners-guide-to-ai-powered-productivity/","Describes how AI assistants can draft documents, summarize emails, and analyze data, illustrating benefits of integrating AI in daily tasks"
2,"When drafting an email or document, which approach best describes what you do?",,,"No AI adoption: you do not use AI for drafting","Mastering Microsoft Copilot: A Beginner’s Guide to AI-Powered Productivity","https://www.turnertimemanagement.com/steves-blog/mastering-microsoft-copilot-a-beginners-guide-to-ai-powered-productivity/","Explains how Copilot drafts and improves documents in Word"
3,"You have a large spreadsheet of data to analyze for trends. How do you proceed?",,,"No AI adoption: does not leverage AI tools for data analysis","Mastering Microsoft Copilot: A Beginner’s Guide to AI-Powered Productivity","https://www.turnertimemanagement.com/steves-blog/mastering-microsoft-copilot-a-beginners-guide-to-ai-powered-productivity/","Shows how Copilot helps analyze data in Excel, generate formulas and charts"
4,"After a long meeting, how do you catch up on the key points and action items?",,,"No AI adoption: manual review only","Mastering Microsoft Copilot: A Beginner’s Guide to AI-Powered Productivity","https://www.turnertimemanagement.com/steves-blog/mastering-microsoft-copilot-a-beginners-guide-to-ai-powered-productivity/","Identifies how Copilot in Teams provides meeting recaps and action items"
5,"How often do you leverage AI tools to brainstorm ideas or generate creative suggestions?",,,"Does not use AI for ideation or creative assistance","Researching with Copilot – Student Academic Success","https://www.monash.edu/student-academic-success/build-digital-capabilities/master-online-learning-systems/microsoft-copilot/researching-with-copilot","Describes using Copilot for brainstorming and research, including verifying sources and evaluating the appropriateness of AI-generated suggestions"
6,"What does the term ""LLM"" stand for in the context of AI?",,,"Correct definition: AI trained on huge text datasets to understand and generate language","Generative AI and Large Language Models","https://shelf.io/blog/how-to-prevent-microsoft-copilot-hallucinations/","Explains that Copilot is a large language model based AI that generates responses by predicting text based on patterns in its training data"
7,"How do generative AI tools (like Copilot or ChatGPT) produce answers to your prompts?",,,"Correct: details how generative AI relies on probability and training data patterns to generate language","How AI Generates Responses","https://shelf.io/blog/how-to-prevent-microsoft-copilot-hallucinations/","Describes how AI models like Copilot use patterns from training data to generate text, rather than retrieving exact real-time facts"
8,"In an enterprise setting, what information does an AI assistant use to answer your work-related questions?",,,"Correct: AI uses your accessible emails, documents, chats, etc., along with its training data","How Copilot Uses Organizational Data","https://learn.microsoft.com/en-us/copilot/microsoft-365/microsoft-365-copilot-privacy","Describes how Copilot accesses content and context through Microsoft Graph and combines it with LLM capabilities to generate relevant responses"
9,"Why might AI-generated answers sometimes be incorrect or biased?",,,"Correct: LLMs learn from data, which can contain biases and inaccuracies","AI Hallucinations and Training Data","https://shelf.io/blog/how-to-prevent-microsoft-copilot-hallucinations/","Explains how gaps in training data and ambiguous prompts can cause AI hallucinations or inaccurate outputs"
